172.26.32.205;TOP5000_TO_eNode_B_13X173_TOP;10.60.17.117;30;1/1/7;96;IES;Up;Up;10.60.17.116
172.26.32.205;TO_HERMANOS_CARRERA_23788_1/1/2;172.27.2.30;30;1/1/1;N/A;Network;Up;Up;172.27.2.28
172.26.32.205;TO_SAR8_B_CONCEPT_1/2/7;172.27.2.33;30;1/1/2;N/A;Network;Up;Up;172.27.2.32
172.26.32.205;system;172.26.32.205;32;system;N/A;Network;Up;Up;172.26.32.205
172.26.32.206;BC_13L840_loopback;10.55.7.35;32;loopback;N/A;Network;Up;Up;10.55.7.35
172.26.32.206;TOP5000_TO_Node_B_13W840_TOP;10.60.46.121;30;1/1/5;96;IES;Up;Up;10.60.46.120
172.26.32.206;TOP5000_TO_Node_B_13X840_TOP;10.60.46.117;30;1/1/5;95;IES;Up;Up;10.60.46.116
172.26.32.206;TOP5000_TO_eNode_B_13L840_TOP;10.52.80.137;30;1/1/7;90;IES;Up;Up;10.52.80.136
172.26.32.206;TO_P_NOR_S_IGN_13308_1/1/1;172.27.2.41;30;1/1/2;N/A;Network;Up;Up;172.27.2.40
172.26.32.206;TO_SAR8_A_CONCERT_1/3/7;172.27.2.38;30;1/1/1;N/A;Network;Up;Up;172.27.2.36
172.26.32.206;system;172.26.32.206;32;system;N/A;Network;Up;Up;172.26.32.206
172.26.32.189;BC_13077_loopback;10.55.7.107;32;loopback;N/A;Network;Up;Up;10.55.7.107
172.26.32.189;TOP5000_TO_NodeB_13W077_TOP;10.60.35.117;30;1/1/5;95;IES;Up;Up;10.60.35.116
172.26.32.207;BC_13308_loopback;10.55.7.9;32;loopback;N/A;Network;Up;Up;10.55.7.9
172.26.32.189;TOP5000_TO_NodeB_13X077_TOP;10.60.35.121;30;1/1/5;96;IES;Up;Up;10.60.35.120
172.26.32.207;TOP5000_TO_Node_B_13W308_TOP;10.60.38.193;30;1/1/10;95;IES;Up;Up;10.60.38.192
172.26.32.189;TOP5000_TO_eNodeB_13L077_TOP;10.52.81.169;30;1/1/7;90;IES;Up;Up;10.52.81.168
172.26.32.207;TOP5000_TO_Node_B_13X308_TOP;10.60.38.197;30;1/1/11;96;IES;Up;Up;10.60.38.196
172.26.32.189;TO_SAR8V2_CORP_CONCERT_B_1/1/5;172.27.1.138;30;1/1/1;N/A;Network;Up;Up;172.27.1.136
172.26.32.207;TOP5000_TO_Node_B_33iX601_TOP;10.60.24.1;30;1/1/8;97;IES;Up;Up;10.60.24.0
172.26.32.45;BC_13302_loopback;10.55.7.115;32;loopback;N/A;Network;Up;Up;10.55.7.115
172.26.32.189;system;172.26.32.189;32;system;N/A;Network;Up;Up;172.26.32.189
172.26.32.207;TOP5000_TO_eNode_B_13N308_TOP;10.52.80.33;30;1/1/3;90;IES;Up;Up;10.52.80.32
172.26.32.45;Batuco_13919;172.27.1.97;30;1/1/4;N/A;Network;Up;Up;172.27.1.96
172.26.32.207;TO_CRU_LAU_13314_1/1/1;172.27.2.45;30;1/1/2;N/A;Network;Up;Up;172.27.2.44
172.26.32.45;TOP5000_TO_eNode_B_13L302_TOP;10.52.81.201;30;1/1/3;90;IES;Up;Up;10.52.81.200
172.26.32.207;TO_SARM_ESTSUR_Q_13840_1/1/2;172.27.2.42;30;1/1/1;N/A;Network;Up;Up;172.27.2.40
172.26.32.45;TOP5000_TO_eNode_B_13W302_TOP;10.60.38.25;30;1/1/9;96;IES;Up;Up;10.60.38.24
172.26.32.207;system;172.26.32.207;32;system;N/A;Network;Up;Up;172.26.32.207
172.26.32.45;TOP5000_TO_eNode_B_13X302_TOP;10.60.38.21;30;1/1/9;95;IES;Up;Up;10.60.38.20
172.26.32.45;TO_ACC_NORORIENTE1_13413_1/1/1;172.27.2.130;30;1/1/2;N/A;Network;Up;Up;172.27.2.128
172.26.32.45;TO_SAR-8_A_CONCERT_CORP_1/1/8;172.27.1.94;30;1/1/1;N/A;Network;Up;Up;172.27.1.92
