172.26.32.226;A;172.26.32.226...;;;;3HE05051ABAE0105;00001011540002083335;X-7.0.R8;1999/12/31;21:00:11
172.26.41.4;A;172.26.41.4...;;;;3HE04164AAAE02;5B6908400;X-13.0.R11;2017/02/15;13:05:45
172.26.41.4;B;172.26.41.4...;;;;3HE04164AAAE02;NS1301F0476;X-13.0.R11;2017/02/15;13:05:58
172.26.32.44;1;172.26.32.44...;;;;3HE06797AABC0101;NS1641S1391;X-7.0.R3;1999/12/31;21:00:18
172.26.32.44;A;172.26.32.44...;;;;3HE06797AABC0101;N/A;X-7.0.R3;1999/12/31;21:00:11
172.26.32.228;1;172.26.32.228...;;;;3HE05051ABAE0106;NS1231F2474;X-7.0.R8;1999/12/31;21:00:26
172.26.32.228;A;172.26.32.228...;;;;3HE05051ABAE0106;00001011680002224956;X-7.0.R8;1999/12/31;21:00:11
172.26.32.23;1;172.26.32.23...;;;;3HE05051ABAD0105;NS1145F0442;X-7.0.R8;1999/12/31;21:00:26
172.26.32.23;A;172.26.32.23...;;;;3HE05051ABAD0105;00001011540001805975;X-7.0.R8;1999/12/31;21:00:11
172.26.32.230;1;172.26.32.230...;;;;3HE05051ABAE0105;NS1217F1955;X-7.0.R8;1999/12/31;21:00:27
172.26.32.230;A;172.26.32.230...;;;;3HE05051ABAE0105;00001011540002060901;X-7.0.R8;1999/12/31;21:00:11
172.26.32.234;1;172.26.32.234...;;;;3HE05051ABAE0110;NS1332F1364;X-7.0.R8;2017/10/06;00:18:34
172.26.32.234;A;172.26.32.234...;;;;3HE05051ABAE0110;SPG2013052801046;X-7.0.R8;2017/10/06;00:18:19
172.26.32.235;1;172.26.32.235...;;;;3HE05051ABAE0105;NS1217F0687;X-7.0.R8;1999/12/31;21:00:26
172.26.32.235;A;172.26.32.235...;;;;3HE05051ABAE0105;00001011540002083399;X-7.0.R8;1999/12/31;21:00:11
172.26.41.7;1;172.26.41.7...;;;;3HE05051ABAE0103;NS1214F0884;X-7.0.R8;1999/12/31;21:00:27
172.26.41.7;A;172.26.41.7...;;;;3HE05051ABAE0103;00001011680001935620;X-7.0.R8;1999/12/31;21:00:11
172.26.41.16;1;172.26.41.16...;;;;3HE06797AABB0111;NS1545S1035;X-7.0.R8;2017/10/06;00:18:42
172.26.41.16;A;172.26.41.16...;;;;3HE06797AABB0111;N/A;X-7.0.R8;2017/10/06;00:18:37
172.26.41.5;1;172.26.41.5...;;;;3HE06797AABC0102;NS1649S0479;X-7.0.R3;1999/12/31;21:00:17
172.26.41.5;A;172.26.41.5...;;;;3HE06797AABC0102;N/A;X-7.0.R3;1999/12/31;21:00:12
172.26.32.237;1;172.26.32.237...;;;;3HE05051ABAF0103;NS1443F1044;X-7.0.R8;1999/12/31;21:00:26
172.26.32.237;A;172.26.32.237...;;;;3HE05051ABAF0103;SPG2014092010295;X-7.0.R8;1999/12/31;21:00:11
172.26.32.238;1;172.26.32.238...;;;;3HE06797AABB0111;NS1541S0320;X-7.0.R8;1999/12/31;21:00:17
172.26.32.238;A;172.26.32.238...;;;;3HE06797AABB0111;N/A;X-7.0.R8;1999/12/31;21:00:11
172.26.32.24;1;172.26.32.24...;;;;3HE05051ABAD0104;NS1138F1061;X-7.0.R8;2017/10/06;00:50:42
172.26.32.24;A;172.26.32.24...;;;;3HE05051ABAD0104;00001011540001957936;X-7.0.R8;2017/10/06;00:50:27
