172.26.41.9;SARM_COLINA_CIU_CSR_R27_13646;7705SAR-M;B-7.0.R9;10.1.1.1/24;226;23:18:15.87;47.78%;194.482.960;SAM
172.26.32.50;SARM_TELCONSUR_ONEMI_SAE002;7705SAR-M;B-7.0.R9;10.1.1.1/24;292;09:28:02.78;58.35%;196.318.128;SAM
172.26.32.38;SARA_VESP_EL_CORTIJ_CSR_R1_13107;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;137;11:53:45.17;45.77%;205.615.648;SAM
172.26.32.6;SARM_MALL_QUILICURA_CSR_R1_13587;7705SAR-M;B-7.0.R9;10.1.1.1/24;18;00:21:05.16;31.33%;198.415.376;SAM
172.26.32.7;SARM_QUILICU_NORT2_CSR_R11_13472;7705SAR-M;B-7.0.R9;10.1.1.1/24;262;20:22:15.90;21.69%;197.366.752;SAM
172.26.32.5;SARM_QUILCU_CENTR_CSR_R1_13471;7705SAR-M;B-7.0.R9;10.1.1.1/24;207;15:29:50.44;3.73%;188.730.240;SAM
172.26.32.8;SARM_SALOMON2_QUIL_CSR_R11_13445;7705SAR-M;B-7.0.R9;10.1.1.1/24;5;23:50:02.54;32.88%;198.939.712;SAM
172.26.32.9;SARA_P308_Q_MATTA_CSR_R2_13894;7705SAR-A(EthXORwithT1/E1);B-7.0.R9;10.1.1.1/24;18;00:21:05.46;25.64%;205.615.648;SAM
172.26.32.246;SASM_COLINA_CLRMCOLCIUSWT01;7210SAS-M-1;B-6.0.R6;10.1.1.1/24;40;13:10:40.81;77.72%;514.482.376;SAM
172.26.33.10;SARM_AV_MACUL_CSR_R2_13725;7705SAR-M;B-7.0.R9;10.1.1.1/24;292;10:50:19.59;7.93%;192.123.632;SAM
172.26.33.101;SARM_DUBLE_GARDENI_CSR_R24_23482;7705SAR-M;B-7.0.R9;10.1.1.1/24;285;10:58:35.41;20.82%;193.172.256;SAM
172.26.33.102;SARM_PARQ_COUSINO_CSR_R24_13740;7705SAR-M;B-7.0.R9;10.1.1.1/24;86;18:11:47.12;46.17%;192.123.632;SAM
172.26.33.103;SARM_PARQ_VESPUCIO_CSR_R24_13741;7705SAR-M;B-7.0.R9;10.1.1.1/24;299;10:00:04.58;37.07%;193.172.256;SAM
172.26.33.104;SARM_RAMON_CRUZ_CSR_R24_13297;7705SAR-M;B-7.0.R9;10.1.1.1/24;215;05:33:36.04;22.98%;189.764.192;SAM
172.26.33.11;SARM_D_ALMAGRO_H_A_CSR_R14_13698;7705SAR-M;B-7.0.R9;10.1.1.1/24;18;19:40:59.85;4.55%;191.599.344;SAM
