172.26.34.232;A;58C;95C
172.26.34.106;A;58C;95C
172.26.34.231;A;41C;95C
172.26.34.121;A;46C;95C
172.26.34.233;A;38C;95C
172.26.34.170;A;57C;95C
172.26.34.235;A;61C;95C
172.26.34.180;A;32C;95C
172.26.34.171;A;58C;95C
172.26.34.236;A;34C;95C
172.26.34.238;A;31C;95C
172.26.34.239;A;35C;95C
172.26.34.123;A;62C;95C
172.26.34.24;A;42C;95C
172.26.34.240;A;51C;95C
172.26.34.119;A;29C;95C
172.26.34.241;A;44C;95C
172.26.34.242;A;29C;95C
172.26.34.243;A;54C;95C
172.26.34.244;A;29C;95C
172.26.34.245;A;36C;95C
172.26.34.246;A;45C;95C
172.26.34.124;A;52C;95C
172.26.34.247;A;32C;95C
172.26.34.248;A;39C;95C
172.26.34.249;A;37C;95C
172.26.34.250;A;41C;95C
172.26.34.25;A;29C;95C
172.26.34.251;A;46C;95C
172.26.34.252;A;55C;95C
172.26.34.253;A;39C;95C
172.26.34.104;A;67C;95C
172.26.34.254;A;38C;95C
172.26.34.105;A;57C;95C
172.26.34.27;A;31C;95C
172.26.34.28;A;40C;95C
172.26.34.26;A;56C;95C
172.26.34.29;A;48C;95C
172.26.34.3;1;51C;75C
172.26.34.3;2;57C;75C
172.26.34.3;3;48C;75C
172.26.34.30;A;33C;95C
172.26.34.3;A;52C;75C
172.26.34.3;B;52C;75C
172.26.34.84;A;52C;95C
172.26.34.31;A;33C;95C
172.26.34.32;A;56C;95C
172.26.34.33;A;58C;95C
172.26.34.34;A;37C;95C
172.26.34.35;A;53C;95C
172.26.34.36;A;36C;95C
172.26.34.91;A;50C;95C
172.26.34.90;A;42C;95C
172.26.34.37;A;32C;95C
172.26.34.4;1;56C;75C
172.26.34.4;2;61C;75C
172.26.34.4;3;49C;75C
172.26.34.4;A;54C;75C
172.26.34.4;B;50C;75C
172.26.34.120;1;33C;75C
172.26.34.120;A;31C;75C
172.26.34.120;B;22C;75C
172.26.34.93;A;47C;95C
172.26.34.40;A;41C;95C
172.26.34.41;A;28C;95C
172.26.34.102;A;67C;95C
172.26.34.42;A;43C;95C
172.26.34.43;A;33C;95C
172.26.34.44;A;49C;95C
172.26.34.45;A;44C;95C
172.26.34.46;A;43C;95C
172.26.34.47;A;29C;95C
172.26.34.92;A;58C;95C
172.26.34.83;A;53C;95C
172.26.34.48;A;29C;95C
172.26.34.49;A;59C;95C
172.26.34.50;A;34C;95C
172.26.34.51;A;40C;95C
172.26.34.53;A;44C;95C
172.26.34.54;A;33C;95C
172.26.34.55;A;32C;95C
172.26.34.57;A;50C;95C
172.26.34.59;A;47C;95C
172.26.34.60;A;36C;95C
172.26.34.61;A;43C;95C
172.26.34.103;A;59C;95C
172.26.34.62;A;43C;95C
172.26.34.63;A;31C;95C
172.26.34.64;A;30C;95C
172.26.34.65;A;31C;95C
172.26.34.66;A;30C;95C
172.26.34.67;A;34C;95C
172.26.34.68;A;41C;95C
172.26.34.69;A;43C;95C
172.26.34.71;A;28C;95C
172.26.34.72;A;56C;95C
172.26.34.73;A;35C;95C
172.26.34.74;A;34C;95C
172.26.34.75;A;27C;95C
172.26.34.76;A;40C;95C
172.26.34.77;A;31C;95C
172.26.34.78;A;46C;95C
172.26.34.79;A;33C;95C
172.26.34.80;A;31C;95C
172.26.34.81;A;48C;95C
172.26.34.82;A;51C;95C
172.26.34.86;A;50C;95C
172.26.34.87;A;53C;95C
172.26.34.88;A;62C;95C
172.26.34.94;A;48C;95C
172.26.34.95;A;32C;95C
172.26.34.96;A;31C;95C
172.26.35.11;1;28C;75C
172.26.35.11;A;33C;75C
172.26.35.11;B;28C;75C
172.26.34.98;A;39C;95C
172.26.34.99;A;34C;95C
172.26.35.10;A;61C;95C
172.26.35.114;A;32C;95C
172.26.35.115;A;29C;95C
172.26.35.118;1;34C;75C
172.26.35.118;A;37C;75C
172.26.35.118;B;31C;75C
172.26.35.116;A;36C;95C
172.26.34.97;A;29C;95C
172.26.35.119;A;36C;95C
172.26.35.117;A;44C;95C
172.26.35.12;A;40C;95C
172.26.35.1;1;42C;75C
172.26.35.1;2;43C;75C
172.26.35.1;3;45C;75C
172.26.35.1;4;46C;75C
172.26.35.1;A;44C;75C
172.26.35.1;B;45C;75C
172.26.35.123;1;31C;75C
172.26.35.123;A;30C;75C
172.26.35.123;B;26C;75C
172.26.35.120;A;33C;95C
172.26.35.121;A;40C;95C
172.26.35.124;1;22C;75C
