172.26.32.199;1/1/4;0.40;0.77
172.26.32.199;1/1/5;12.11;35.28
172.26.32.199;1/1/7;0.74;5.23
172.26.32.189;1/1/1;1.74;0.46
172.26.32.189;1/1/5;4.23;4.79
172.26.32.189;1/1/7;0.05;0.53
172.26.32.202;1/1/4;0.19;0.09
172.26.32.202;1/1/5;2.37;3.39
172.26.32.202;1/1/6;3.56;7.11
172.26.32.202;1/1/7;14.44;~0.00
172.26.32.202;1/2/1;0.33;2.84
172.26.32.202;1/2/7;~0.00;11.20
172.26.32.202;1/2/8;0.00;0.00
172.26.32.190;1/1/1;~0.00;0.83
172.26.32.190;1/1/2;3.24;0.32
172.26.32.190;1/1/9;2.40;6.39
172.26.32.214;1/1/1;0.23;0.04
172.26.32.214;1/1/6;0.16;0.21
172.26.32.20;1/1/1;0.65;6.69
172.26.32.20;1/1/2;6.70;1.08
172.26.32.20;1/1/3;0.00;~0.00
172.26.32.20;1/1/5;1.10;1.52
172.26.32.20;1/1/6;1.12;5.48
172.26.32.20;1/1/7;0.17;2.46
172.26.32.203;1/1/1;8.56;~0.00
172.26.32.203;1/1/2;~0.00;6.05
172.26.32.203;1/1/5;1.80;8.09
172.26.32.203;1/1/6;3.63;7.66
172.26.32.203;1/1/7;0.13;2.18
172.26.32.206;1/1/1;19.84;4.73
172.26.32.206;1/1/2;3.10;11.84
172.26.32.206;1/1/5;4.28;14.20
172.26.32.206;1/1/7;0.30;2.24
172.26.32.204;1/1/1;6.31;~0.00
172.26.32.204;1/1/2;~0.00;2.30
172.26.32.204;1/1/5;2.08;7.67
172.26.32.204;1/1/6;1.39;12.30
172.26.32.204;1/1/7;0.21;1.74
172.26.32.248;1/1/3;0.08;0.49
172.26.32.248;1/1/4;0.63;1.48
172.26.32.248;1/1/5;2.84;1.29
172.26.32.248;1/1/6;0.35;0.82
172.26.32.205;1/1/1;2.85;1.13
172.26.32.205;1/1/2;5.71;3.92
172.26.32.205;1/1/5;1.28;8.84
172.26.32.205;1/1/6;0.36;3.53
172.26.32.205;1/1/7;0.92;1.14
172.26.32.213;1/1/1;2.55;0.41
172.26.32.213;1/1/5;1.96;3.64
172.26.32.213;1/1/7;0.20;2.29
172.26.32.45;1/1/1;32.58;7.51
172.26.32.45;1/1/2;0.37;1.46
172.26.32.45;1/1/3;0.17;1.19
172.26.32.45;1/1/4;5.90;25.48
172.26.32.45;1/1/9;3.89;9.90
172.26.32.209;1/1/1;4.53;0.90
172.26.32.209;1/1/2;0.56;1.94
172.26.32.209;1/1/5;0.41;3.48
172.26.32.209;1/1/6;0.79;0.90
172.26.32.209;1/1/7;0.61;11.61
172.26.32.21;1/1/1;1.09;8.26
172.26.32.21;1/1/2;9.66;1.31
172.26.32.21;1/1/5;0.95;5.89
172.26.32.21;1/1/6;0.39;0.63
172.26.32.21;1/1/7;0.21;2.29
172.26.32.207;1/1/1;13.10;3.47
172.26.32.207;1/1/2;2.28;7.03
