172.26.32.203;50;10.52.77.89;d4:e3:3f:82:05:e9;Oth[I];TO_eNodeB_13N154
172.26.32.20;50;10.207.202.13;00:0f:bb:60:29:6d;Dyn[I];TO_NodeB_23W393
172.26.32.20;50;10.207.202.14;90:3a:a0:ab:f1:b1;Oth[I];TO_NodeB_23W393
172.26.32.203;50;10.52.77.90;d8:ef:cd:0c:4e:e4;Dyn[I];TO_eNodeB_13N154
172.26.32.206;10;10.52.72.137;d4:e3:3f:48:12:6f;Oth[I];TO_eNodeB_13L840
172.26.32.20;50;10.207.202.17;00:0f:bb:a2:17:cb;Dyn[I];TO_NodeB_23X393
172.26.32.206;10;10.52.72.138;60:a8:fe:19:a7:02;Dyn[I];TO_eNodeB_13L840
172.26.32.20;50;10.207.202.18;90:3a:a0:ab:f1:b2;Oth[I];TO_NodeB_23X393
172.26.32.206;50;10.52.76.137;d4:e3:3f:48:12:6f;Oth[I];TO_eNodeB_13L840
172.26.32.20;100;10.207.194.13;00:0f:bb:60:29:6d;Dyn[I];TO_NodeB_23W393
172.26.32.206;50;10.52.76.138;60:a8:fe:19:a7:02;Dyn[I];TO_eNodeB_13L840
172.26.32.204;10;10.52.72.29;d4:e3:3f:5b:7e:85;Oth[I];TO_eNodeB_13L305
172.26.32.20;100;10.207.194.14;90:3a:a0:ab:f1:b1;Oth[I];TO_NodeB_23W393
172.26.32.204;10;10.52.72.30;00:0f:bb:86:13:15;Dyn[I];TO_eNodeB_13L305
172.26.32.20;100;10.207.194.17;00:0f:bb:a2:17:cb;Dyn[I];TO_NodeB_23X393
172.26.32.204;50;10.52.76.29;d4:e3:3f:5b:7e:85;Oth[I];TO_eNodeB_13L305
172.26.32.20;100;10.207.194.18;90:3a:a0:ab:f1:b2;Oth[I];TO_NodeB_23X393
172.26.32.248;10;10.52.73.253;04:c2:41:81:3b:3f;Oth[I];TO_eNodeB_23L789
172.26.32.204;50;10.52.76.30;00:0f:bb:86:13:15;Dyn[I];TO_eNodeB_13L305
172.26.32.248;10;10.52.73.254;d6:ef:cd:a1:a0:02;Dyn[I];TO_eNodeB_23L789
172.26.32.205;10;10.52.72.21;d4:e3:3f:81:fd:d4;Oth[I];TO_eNodeB_13L173
172.26.32.248;50;10.52.77.253;04:c2:41:81:3b:3f;Oth[I];TO_eNodeB_23L789
172.26.32.205;10;10.52.72.22;00:0f:bb:89:37:e5;Dyn[I];TO_eNodeB_13L173
172.26.32.248;50;10.52.77.254;d6:ef:cd:a1:a0:02;Dyn[I];TO_eNodeB_23L789
172.26.32.205;50;10.52.76.21;d4:e3:3f:81:fd:d4;Oth[I];TO_eNodeB_13L173
172.26.32.205;50;10.52.76.22;00:0f:bb:89:37:e5;Dyn[I];TO_eNodeB_13L173
172.26.32.213;10;10.52.72.105;d4:e3:3f:8d:45:c3;Oth[I];TO_eNodeB_13L537
172.26.32.213;10;10.52.72.106;d8:ef:cd:54:e4:4d;Dyn[I];TO_eNodeB_13L537
172.26.32.213;50;10.52.76.105;d4:e3:3f:8d:45:c3;Oth[I];TO_eNodeB_13L537
172.26.32.213;50;10.52.76.106;d8:ef:cd:54:e4:4d;Dyn[I];TO_eNodeB_13L537
172.26.32.45;10;10.52.73.201;50:40:61:72:04:5f;Oth[I];TO_eNodeB_13L302
172.26.32.45;10;10.52.73.202;d6:ef:cd:a1:25:a1;Dyn[I];TO_eNodeB_13L302
172.26.32.45;50;10.52.77.201;50:40:61:72:04:5f;Oth[I];TO_eNodeB_13L302
172.26.32.45;50;10.52.77.202;d6:ef:cd:a1:25:a1;Dyn[I];TO_eNodeB_13L302
172.26.32.45;50;10.49.14.37;50:40:61:72:04:65;Oth[I];TO_BTS_2G_13_302
