172.26.32.205;3/1;10.52.80.22;no;master
172.26.32.205;4/1;10.60.17.114;no;master
172.26.32.205;5/1;10.60.17.118;no;master
172.26.32.206;1/1;10.55.0.36;yes;slave
172.26.32.206;2/1;10.55.0.20;no;master
172.26.32.206;3/1;10.52.80.138;no;master
172.26.32.206;4/1;10.60.46.118;no;master
172.26.32.206;5/1;10.60.46.122;no;master
172.26.32.189;1/1;10.55.0.36;yes;slave
172.26.32.189;2/1;10.60.35.238;no;master
172.26.32.189;3/1;10.52.81.170;no;master
172.26.32.189;4/1;10.60.35.118;no;master
172.26.32.189;5/1;10.60.35.122;no;master
172.26.32.207;1/1;10.55.0.36;yes;slave
172.26.32.207;2/1;10.55.0.20;no;master
172.26.32.207;3/1;10.52.80.34;no;master
172.26.32.207;4/1;10.60.24.2;no;master
172.26.32.207;5/1;10.60.38.198;no;master
172.26.32.207;6/1;10.60.38.194;no;master
172.26.32.45;1/1;10.55.0.36;yes;slave
172.26.32.45;2/1;10.55.0.20;no;master
172.26.32.45;3/1;10.52.81.202;no;master
172.26.32.45;4/1;10.60.38.26;no;master
172.26.32.45;5/1;10.60.38.22;no;master
172.26.32.190;1/1;10.55.0.36;yes;slave
172.26.32.190;2/1;10.55.0.20;no;master
172.26.32.190;3/1;10.52.81.238;no;master
172.26.32.190;4/1;10.60.44.178;no;master
172.26.32.248;1/1;10.55.0.36;yes;slave
172.26.32.248;2/1;10.55.0.20;no;master
172.26.32.248;3/1;10.52.81.254;no;master
172.26.32.248;4/1;10.60.55.174;no;master
172.26.32.208;1/1;10.55.0.36;yes;slave
172.26.32.208;2/1;10.55.0.20;no;master
172.26.32.208;4/1;10.60.6.54;no;master
172.26.32.208;5/1;10.60.7.82;no;master
172.26.32.208;6/1;10.60.21.114;no;master
172.26.32.208;7/1;10.60.21.118;no;master
172.26.32.208;8/1;10.52.80.46;no;master
172.26.32.209;1/1;10.55.0.36;yes;slave
172.26.32.209;2/1;10.55.0.20;no;master
172.26.32.209;3/1;10.52.81.190;no;master
172.26.32.209;4/1;10.60.37.106;no;master
172.26.32.209;5/1;10.60.37.110;no;master
172.26.32.21;1/1;10.55.0.36;yes;slave
172.26.32.21;2/1;10.55.0.20;no;master
172.26.32.21;3/1;10.52.80.90;no;master
172.26.32.212;1/1;10.55.0.36;yes;slave
172.26.32.212;2/1;10.55.0.20;no;master
172.26.32.212;3/1;10.52.80.170;no;master
172.26.32.212;4/1;10.52.80.246;no;master
172.26.32.212;5/1;10.52.80.250;no;master
172.26.32.212;6/1;10.60.6.106;no;master
172.26.32.212;7/1;10.60.6.110;no;master
172.26.32.212;8/1;10.60.26.166;no;master
172.26.32.212;9/1;10.60.26.170;no;master
172.26.32.210;1/1;10.55.0.36;yes;slave
172.26.32.210;2/1;10.55.0.20;no;master
172.26.32.210;3/1;10.52.80.42;no;master
172.26.32.210;4/1;10.60.21.106;no;master
172.26.32.210;5/1;10.60.13.94;no;master
172.26.32.215;1/1;10.55.0.36;yes;slave
172.26.32.215;2/1;10.55.0.20;no;master
172.26.32.215;3/1;10.52.80.10;no;master
172.26.32.215;4/1;10.60.46.154;no;master
172.26.32.215;5/1;10.60.46.158;no;master
172.26.32.213;1/1;10.55.0.36;yes;slave
172.26.32.213;2/1;10.55.0.20;no;master
172.26.32.213;3/1;10.52.80.106;no;master
172.26.32.213;4/1;10.60.37.250;no;master
172.26.32.213;5/1;10.60.37.254;no;master
172.26.32.43;1/1;10.55.0.36;yes;slave
172.26.32.43;2/1;10.55.0.20;no;master
172.26.32.43;4/1;10.60.27.26;no;master
172.26.32.42;1/1;10.55.0.20;no;master
172.26.32.42;2/1;10.55.0.36;yes;slave
172.26.32.42;3/1;10.52.80.78;no;master
172.26.32.42;4/1;10.60.38.30;no;master
172.26.32.42;5/1;10.60.14.222;no;master
172.26.32.191;1/1;10.55.0.36;yes;slave
172.26.32.191;2/1;10.55.0.20;no;master
172.26.32.191;3/1;10.52.81.210;no;master
172.26.32.191;4/1;10.60.42.42;no;master
172.26.32.22;1/1;10.55.0.36;yes;slave
172.26.32.22;2/1;10.55.0.20;no;master
172.26.32.22;4/1;10.60.10.246;no;master
172.26.32.22;5/1;10.60.34.50;no;master
172.26.32.22;6/1;10.60.34.70;no;master
172.26.32.22;7/1;10.52.80.62;no;master
